S/N,State,Hospital Name,Disease,Total Visits,Reported Cases,Month,Year,Date
1740,Plateau,JUTH - Jos University Teaching Hospital,Malaria,34966,10945,December,2000,"Friday, December 1, 2000"
1741,Lagos,LASUTH - Lagos State University Teaching Hospital,Typhoid,46363,9264,May,2010,"Saturday, May 1, 2010"
1742,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,39609,6995,July,2014,"Tuesday, July 1, 2014"
1743,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Malaria,1543,163,August,2018,"Wednesday, August 1, 2018"
1744,Plateau,JUTH - Jos University Teaching Hospital,Malaria,39959,1060,December,2022,"Thursday, December 1, 2022"
1745,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,73091,5697,October,2015,"Thursday, October 1, 2015"
1746,Plateau,JUTH - Jos University Teaching Hospital,Measles,76530,32922,June,2021,"Tuesday, June 1, 2021"
1747,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,69795,24672,January,2006,"Sunday, January 1, 2006"
1748,Imo,FMC Owerri - Federal Medical Centre,Malaria,15936,3810,July,2014,"Tuesday, July 1, 2014"
1749,Oyo,"UCH - University College Hospital, Ibadan",Lassa Fever,26776,6667,September,2005,"Thursday, September 1, 2005"
1750,Imo,FMC Owerri - Federal Medical Centre,Measles,56547,21981,August,2018,"Wednesday, August 1, 2018"
1751,Kogi,FMC Lokoja - Federal Medical Centre,Cholera,63251,29517,September,2021,"Wednesday, September 1, 2021"
1752,Kogi,FMC Lokoja - Federal Medical Centre,Typhoid,51242,11614,August,2011,"Monday, August 1, 2011"
1753,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Typhoid,61256,12236,March,2021,"Monday, March 1, 2021"
1754,Oyo,"UCH - University College Hospital, Ibadan",Malaria,37432,17880,July,2021,"Thursday, July 1, 2021"
1755,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,20743,1393,February,2001,"Thursday, February 1, 2001"
1756,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Lassa Fever,19982,3990,May,2022,"Sunday, May 1, 2022"
1757,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,3254,1305,May,2022,"Sunday, May 1, 2022"
1758,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,48103,9760,July,2006,"Saturday, July 1, 2006"
1759,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,44034,11866,October,2011,"Saturday, October 1, 2011"
1760,Ogun,FMC Abeokuta - Federal Medical Centre,Measles,45275,1621,February,2007,"Thursday, February 1, 2007"
1761,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,26480,3468,July,2020,"Wednesday, July 1, 2020"
1762,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,70729,6110,November,2005,"Tuesday, November 1, 2005"
1763,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,27990,3001,September,2014,"Monday, September 1, 2014"
1764,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,58751,9640,September,2000,"Friday, September 1, 2000"
1765,Plateau,JUTH - Jos University Teaching Hospital,Lassa Fever,24066,7836,February,2006,"Wednesday, February 1, 2006"
1766,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Malaria,23896,7310,October,2016,"Saturday, October 1, 2016"
1767,Oyo,"UCH - University College Hospital, Ibadan",Lassa Fever,66847,12170,July,2020,"Wednesday, July 1, 2020"
1768,Edo,UBTH - University of Benin Teaching Hospital,Cholera,71202,2702,February,2024,"Thursday, February 1, 2024"
1769,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Typhoid,39183,6930,August,2022,"Monday, August 1, 2022"
1770,Nasarawa,FMC Keffi - Federal Medical Centre,Lassa Fever,45437,18381,November,2012,"Thursday, November 1, 2012"
1771,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,77074,35227,May,2013,"Wednesday, May 1, 2013"
1772,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,52458,4612,August,2009,"Saturday, August 1, 2009"
1773,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,79216,14039,July,2010,"Thursday, July 1, 2010"
1774,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Malaria,69673,30926,July,2011,"Friday, July 1, 2011"
1775,Abia,FMC Umuahia - Federal Medical Centre,Lassa Fever,9295,4132,January,2005,"Saturday, January 1, 2005"
1776,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,55301,10695,December,2006,"Friday, December 1, 2006"
1777,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Lassa Fever,12788,3328,March,2020,"Sunday, March 1, 2020"
1778,Plateau,BUTH - Bingham University Teaching Hospital,Malaria,64545,1395,June,2016,"Wednesday, June 1, 2016"
1779,Plateau,BUTH - Bingham University Teaching Hospital,Malaria,68665,29365,October,2008,"Wednesday, October 1, 2008"
1780,Abia,FMC Umuahia - Federal Medical Centre,Cholera,25589,171,July,2021,"Thursday, July 1, 2021"
1781,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,5759,997,December,2001,"Saturday, December 1, 2001"
1782,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Measles,35170,8888,September,2003,"Monday, September 1, 2003"
1783,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,19657,9071,July,2014,"Tuesday, July 1, 2014"
1784,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,3782,1387,September,2005,"Thursday, September 1, 2005"
1785,Kogi,FMC Lokoja - Federal Medical Centre,Cholera,1648,252,September,2020,"Tuesday, September 1, 2020"
1786,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,12363,2843,September,2011,"Thursday, September 1, 2011"
1787,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,12434,4435,February,2020,"Saturday, February 1, 2020"
1788,Lagos,LASUTH - Lagos State University Teaching Hospital,Typhoid,42309,5147,April,2017,"Saturday, April 1, 2017"
1789,Nasarawa,FMC Keffi - Federal Medical Centre,Lassa Fever,11846,1842,July,2020,"Wednesday, July 1, 2020"
1790,Kogi,FMC Lokoja - Federal Medical Centre,Lassa Fever,3314,1349,January,2024,"Monday, January 1, 2024"
1791,Bayelsa,FMC Yenagoa - Federal Medical Centre,Malaria,50376,19338,February,2001,"Thursday, February 1, 2001"
1792,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Tuberculosis,60068,11451,May,2019,"Wednesday, May 1, 2019"
1793,Delta,DELTA FMC - Federal Medical Centre Asaba,Typhoid,4896,2277,July,2001,"Sunday, July 1, 2001"
1794,Plateau,BUTH - Bingham University Teaching Hospital,Measles,50226,16051,August,2012,"Wednesday, August 1, 2012"
1795,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,78782,31535,March,2016,"Tuesday, March 1, 2016"
1796,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Malaria,31822,5288,December,2013,"Sunday, December 1, 2013"
1797,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,31246,8679,October,2017,"Sunday, October 1, 2017"
1798,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,78337,31844,February,2003,"Saturday, February 1, 2003"
1799,Nasarawa,FMC Keffi - Federal Medical Centre,Cholera,20837,1736,May,2018,"Tuesday, May 1, 2018"
1800,Edo,UBTH - University of Benin Teaching Hospital,Measles,12727,3038,April,2004,"Thursday, April 1, 2004"
1801,Lagos,LUTH - Lagos University Teaching Hospital,Typhoid,4934,1490,August,2011,"Monday, August 1, 2011"
1802,Enugu,UNTH - University of Nigeria Teaching Hospital,Tuberculosis,15914,1978,February,2013,"Friday, February 1, 2013"
1803,Plateau,BUTH - Bingham University Teaching Hospital,Measles,78516,27699,October,2005,"Saturday, October 1, 2005"
1804,Edo,UBTH - University of Benin Teaching Hospital,Tuberculosis,69094,26668,January,2011,"Saturday, January 1, 2011"
1805,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,24880,3629,June,2001,"Friday, June 1, 2001"
1806,Kogi,FMC Lokoja - Federal Medical Centre,Lassa Fever,22826,4198,June,2007,"Friday, June 1, 2007"
1807,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Lassa Fever,49045,100,February,2006,"Wednesday, February 1, 2006"
1808,Kogi,FMC Lokoja - Federal Medical Centre,Tuberculosis,12138,4913,July,2003,"Tuesday, July 1, 2003"
1809,Imo,FMC Owerri - Federal Medical Centre,Tuberculosis,61911,25769,July,2019,"Monday, July 1, 2019"
1810,Delta,DELTA FMC - Federal Medical Centre Asaba,Typhoid,55944,6162,September,2014,"Monday, September 1, 2014"
1811,Enugu,UNTH - University of Nigeria Teaching Hospital,Typhoid,7652,2252,December,2012,"Saturday, December 1, 2012"
1812,Bayelsa,FMC Yenagoa - Federal Medical Centre,Cholera,55454,4630,June,2016,"Wednesday, June 1, 2016"
1813,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Tuberculosis,34461,14564,May,2006,"Monday, May 1, 2006"
1814,Delta,DELTA FMC - Federal Medical Centre Asaba,Lassa Fever,53424,25091,November,2021,"Monday, November 1, 2021"
1815,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Measles,76142,12206,September,2007,"Saturday, September 1, 2007"
1816,Lagos,LASUTH - Lagos State University Teaching Hospital,Measles,75131,8646,July,2003,"Tuesday, July 1, 2003"
1817,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,5233,2301,July,2000,"Saturday, July 1, 2000"
1818,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,7642,3237,September,2024,"Sunday, September 1, 2024"
1819,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,29244,8258,February,2021,"Monday, February 1, 2021"
1820,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Malaria,19533,6291,February,2013,"Friday, February 1, 2013"
1821,Kogi,FMC Lokoja - Federal Medical Centre,Lassa Fever,23606,1968,October,2003,"Wednesday, October 1, 2003"
1822,Abia,FMC Umuahia - Federal Medical Centre,Cholera,7555,2963,April,2016,"Friday, April 1, 2016"
1823,Plateau,BUTH - Bingham University Teaching Hospital,Measles,25703,2596,August,2002,"Thursday, August 1, 2002"
1824,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,61778,23744,August,2023,"Tuesday, August 1, 2023"
1825,Lagos,LUTH - Lagos University Teaching Hospital,Typhoid,39185,2950,July,2024,"Monday, July 1, 2024"
1826,Abia,FMC Umuahia - Federal Medical Centre,Malaria,32345,7961,May,2008,"Thursday, May 1, 2008"
1827,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Lassa Fever,6316,2293,May,2003,"Thursday, May 1, 2003"
1828,Ogun,FMC Abeokuta - Federal Medical Centre,Measles,38126,9049,March,2018,"Thursday, March 1, 2018"
1829,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Malaria,22121,7248,April,2018,"Sunday, April 1, 2018"
1830,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,36052,6933,June,2009,"Monday, June 1, 2009"
1831,Edo,UBTH - University of Benin Teaching Hospital,Malaria,48566,3725,October,2024,"Tuesday, October 1, 2024"
1832,Bayelsa,FMC Yenagoa - Federal Medical Centre,Typhoid,31169,9077,December,2020,"Tuesday, December 1, 2020"
1833,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Measles,50520,12307,April,2004,"Thursday, April 1, 2004"
1834,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,68420,30727,October,2002,"Tuesday, October 1, 2002"
1835,Lagos,LASUTH - Lagos State University Teaching Hospital,Malaria,69116,11927,March,2024,"Friday, March 1, 2024"
1836,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,15097,7258,March,2023,"Wednesday, March 1, 2023"
1837,Kogi,FMC Lokoja - Federal Medical Centre,Tuberculosis,12094,4413,March,2021,"Monday, March 1, 2021"
1838,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,19583,686,March,2016,"Tuesday, March 1, 2016"
1839,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,75364,26312,August,2008,"Friday, August 1, 2008"
1840,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,31165,12239,February,2009,"Sunday, February 1, 2009"
1841,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,22995,10006,February,2018,"Thursday, February 1, 2018"
1842,Lagos,LUTH - Lagos University Teaching Hospital,Typhoid,53774,14826,July,2024,"Monday, July 1, 2024"
1843,Lagos,LASUTH - Lagos State University Teaching Hospital,Measles,75138,27029,November,2008,"Saturday, November 1, 2008"
1844,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,31299,10417,April,2010,"Thursday, April 1, 2010"
1845,Lagos,LUTH - Lagos University Teaching Hospital,Cholera,16560,5675,June,2010,"Tuesday, June 1, 2010"
1846,Abia,FMC Umuahia - Federal Medical Centre,Malaria,57371,21383,June,2004,"Tuesday, June 1, 2004"
1847,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Lassa Fever,59438,6557,May,2024,"Wednesday, May 1, 2024"
1848,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,57109,4189,March,2004,"Monday, March 1, 2004"
1849,Imo,FMC Owerri - Federal Medical Centre,Malaria,14151,5117,January,2014,"Wednesday, January 1, 2014"
1850,Delta,DELTA FMC - Federal Medical Centre Asaba,Lassa Fever,58283,6403,August,2009,"Saturday, August 1, 2009"
1851,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,26627,10777,June,2013,"Saturday, June 1, 2013"
1852,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Tuberculosis,69159,7743,February,2007,"Thursday, February 1, 2007"
1853,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Measles,70068,19623,May,2013,"Wednesday, May 1, 2013"
1854,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Typhoid,20777,7662,May,2002,"Wednesday, May 1, 2002"
1855,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,45458,18626,March,2007,"Thursday, March 1, 2007"
1856,Lagos,LASUTH - Lagos State University Teaching Hospital,Malaria,33448,5292,January,2004,"Thursday, January 1, 2004"
1857,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Lassa Fever,39523,15235,August,2020,"Saturday, August 1, 2020"
1858,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,38659,11739,December,2015,"Tuesday, December 1, 2015"
1859,Imo,FMC Owerri - Federal Medical Centre,Tuberculosis,38078,17321,August,2000,"Tuesday, August 1, 2000"
1860,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,36737,6591,May,2020,"Friday, May 1, 2020"
1861,Abia,FMC Umuahia - Federal Medical Centre,Lassa Fever,53363,4556,September,2002,"Sunday, September 1, 2002"
1862,Plateau,JUTH - Jos University Teaching Hospital,Typhoid,31481,8013,November,2019,"Friday, November 1, 2019"
1863,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,48517,13764,July,2015,"Wednesday, July 1, 2015"
1864,Oyo,"UCH - University College Hospital, Ibadan",Lassa Fever,25839,857,February,2004,"Sunday, February 1, 2004"
1865,Oyo,"UCH - University College Hospital, Ibadan",Cholera,9425,1147,March,2019,"Friday, March 1, 2019"
1866,Ogun,FMC Abeokuta - Federal Medical Centre,Measles,52771,3783,February,2003,"Saturday, February 1, 2003"
1867,Abia,FMC Umuahia - Federal Medical Centre,Tuberculosis,7266,945,October,2009,"Thursday, October 1, 2009"
1868,Enugu,UNTH - University of Nigeria Teaching Hospital,Tuberculosis,69447,17575,October,2021,"Friday, October 1, 2021"
1869,Oyo,"UCH - University College Hospital, Ibadan",Typhoid,6701,2916,October,2018,"Monday, October 1, 2018"
1870,Lagos,LASUTH - Lagos State University Teaching Hospital,Typhoid,20107,8428,October,2009,"Thursday, October 1, 2009"
1871,Abia,FMC Umuahia - Federal Medical Centre,Measles,25751,4088,November,2021,"Monday, November 1, 2021"
1872,Oyo,"UCH - University College Hospital, Ibadan",Measles,23256,2231,July,2024,"Monday, July 1, 2024"
1873,Imo,FMC Owerri - Federal Medical Centre,Typhoid,8331,753,February,2018,"Thursday, February 1, 2018"
1874,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,52938,5045,June,2022,"Wednesday, June 1, 2022"
1875,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Typhoid,25620,6645,March,2008,"Saturday, March 1, 2008"
1876,Abia,FMC Umuahia - Federal Medical Centre,Cholera,75788,687,February,2021,"Monday, February 1, 2021"
1877,Imo,FMC Owerri - Federal Medical Centre,Cholera,45898,17508,June,2001,"Friday, June 1, 2001"
1878,Ogun,FMC Abeokuta - Federal Medical Centre,Lassa Fever,40656,8669,August,2023,"Tuesday, August 1, 2023"
1879,Plateau,BUTH - Bingham University Teaching Hospital,Typhoid,1070,152,May,2007,"Tuesday, May 1, 2007"
1880,Kogi,FMC Lokoja - Federal Medical Centre,Lassa Fever,21355,2160,February,2002,"Friday, February 1, 2002"
1881,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,26171,8586,July,2024,"Monday, July 1, 2024"
1882,Edo,UBTH - University of Benin Teaching Hospital,Measles,62624,9445,November,2005,"Tuesday, November 1, 2005"
1883,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Cholera,74057,21128,September,2022,"Thursday, September 1, 2022"
1884,Oyo,"UCH - University College Hospital, Ibadan",Cholera,45565,22776,March,2018,"Thursday, March 1, 2018"
1885,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,77795,8619,September,2021,"Wednesday, September 1, 2021"
1886,Ogun,FMC Abeokuta - Federal Medical Centre,Cholera,11075,1936,August,2010,"Sunday, August 1, 2010"
1887,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Cholera,28086,11350,December,2005,"Thursday, December 1, 2005"
1888,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,13411,3396,October,2012,"Monday, October 1, 2012"
1889,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,53103,11392,February,2006,"Wednesday, February 1, 2006"
1890,Edo,UBTH - University of Benin Teaching Hospital,Cholera,65679,17170,July,2023,"Saturday, July 1, 2023"
1891,Delta,DELTA FMC - Federal Medical Centre Asaba,Typhoid,40391,16287,June,2017,"Thursday, June 1, 2017"
1892,Enugu,UNTH - University of Nigeria Teaching Hospital,Measles,12558,846,March,2016,"Tuesday, March 1, 2016"
1893,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,8474,1805,September,2013,"Sunday, September 1, 2013"
1894,Lagos,LASUTH - Lagos State University Teaching Hospital,Measles,40246,12156,February,2006,"Wednesday, February 1, 2006"
1895,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,74324,28794,August,2002,"Thursday, August 1, 2002"
1896,Plateau,JUTH - Jos University Teaching Hospital,Typhoid,25589,3670,October,2004,"Friday, October 1, 2004"
1897,Abia,FMC Umuahia - Federal Medical Centre,Measles,75294,23078,November,2017,"Wednesday, November 1, 2017"
1898,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Lassa Fever,32829,8761,April,2018,"Sunday, April 1, 2018"
1899,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Lassa Fever,31980,3082,January,2011,"Saturday, January 1, 2011"
